New Code,Borough,Names,"Local, Small or Pocket Park",District Park,Metropolitan Park,Regional Park,% homes with deficiency in access to nature2012,% area that is greenspace2012,median price2012
E09000001,City of London,City of London,0.89 ,0.00 ,0.00 ,0.00 ,1.00 ,0.19 ,485000
E05000026,Barking and Dagenham,Abbey,0.26 ,0.98 ,0.00 ,0.00 ,0.02 ,0.20 ,141000
E05000027,Barking and Dagenham,Alibon,0.20 ,0.19 ,1.00 ,0.00 ,0.72 ,0.22 ,163000
E05000028,Barking and Dagenham,Becontree,0.33 ,0.71 ,0.99 ,0.00 ,0.17 ,0.03 ,173000
E05000029,Barking and Dagenham,Chadwell Heath,0.64 ,0.00 ,0.09 ,0.00 ,0.64 ,0.56 ,205000
E05000030,Barking and Dagenham,Eastbrook,0.12 ,0.97 ,1.00 ,0.00 ,0.00 ,0.51 ,197500
E05000031,Barking and Dagenham,Eastbury,0.14 ,0.65 ,0.43 ,0.00 ,0.06 ,0.18 ,182000
E05000032,Barking and Dagenham,Gascoigne,0.52 ,0.06 ,0.00 ,0.00 ,0.06 ,0.20 ,158500
E05000033,Barking and Dagenham,Goresbrook,0.83 ,0.06 ,1.00 ,0.00 ,0.08 ,0.17 ,165000
E05000034,Barking and Dagenham,Heath,0.03 ,0.68 ,1.00 ,0.00 ,0.91 ,0.38 ,163000
E05000035,Barking and Dagenham,Longbridge,0.00 ,1.00 ,0.17 ,0.00 ,0.04 ,0.30 ,258500
E05000036,Barking and Dagenham,Mayesbrook,0.00 ,0.92 ,1.00 ,0.00 ,0.00 ,0.46 ,168000
E05000037,Barking and Dagenham,Parsloes,0.27 ,0.04 ,1.00 ,0.00 ,0.30 ,0.17 ,162000
E05000038,Barking and Dagenham,River,0.60 ,0.54 ,0.95 ,0.00 ,0.00 ,0.21 ,163000
E05000039,Barking and Dagenham,Thames,0.31 ,0.05 ,0.06 ,0.00 ,0.23 ,0.44 ,197000
E05000040,Barking and Dagenham,Valence,0.38 ,0.12 ,0.96 ,0.00 ,0.60 ,0.16 ,167000
E05000041,Barking and Dagenham,Village,0.36 ,0.67 ,1.00 ,0.00 ,0.00 ,0.48 ,155000
E05000042,Barking and Dagenham,Whalebone,0.05 ,0.18 ,0.24 ,0.00 ,0.98 ,0.16 ,196000
E05000043,Barnet,Brunswick Park,0.23 ,1.00 ,0.25 ,0.00 ,0.01 ,0.28 ,360000
E05000044,Barnet,Burnt Oak,0.68 ,0.13 ,0.07 ,0.00 ,0.03 ,0.20 ,234000
E05000045,Barnet,Childs Hill,0.40 ,0.23 ,0.98 ,0.00 ,0.42 ,0.15 ,454500
E05000046,Barnet,Colindale,0.53 ,0.35 ,0.29 ,0.00 ,0.49 ,0.21 ,250000
E05000047,Barnet,Coppetts,0.38 ,0.10 ,0.38 ,0.00 ,0.09 ,0.40 ,321500
E05000048,Barnet,East Barnet,0.36 ,0.98 ,0.91 ,0.00 ,0.00 ,0.35 ,329975
E05000049,Barnet,East Finchley,0.31 ,0.00 ,0.40 ,0.00 ,0.07 ,0.38 ,371000
